"ID","Name","Position","League","type","positionGroup"
425549,"Clint Barmes","2B/SS",NA,FALSE,"Utility"
506673,"Juan Miranda","1B",NA,FALSE,"Infield"
435043,"Zach Duke","P",NA,FALSE,"Pitcher"
458003,"Blake Hawksworth","P",NA,FALSE,"Pitcher"
430946,"Jose Lopez","2B",NA,FALSE,"Infield"
276530,"Scott Linebrink","P",NA,FALSE,"Pitcher"
453646,"Carlos Villanueva","P",NA,FALSE,"Pitcher"
448602,"Mark Reynolds","1B/3B",NA,FALSE,"Utility"
456696,"David Hernandez","P",NA,FALSE,"Pitcher"
501874,"Kam Mickolio","P",NA,FALSE,"Pitcher"
408236,"Adrián González","1B",NA,FALSE,"Infield"
429666,"J.J. Hardy","SS",NA,FALSE,"Infield"
453895,"Brendan Ryan","SS",NA,FALSE,"Infield"
469159,"Henry Alberto Rodriguez","P",NA,FALSE,"Pitcher"
458643,"Jose Morales","C",NA,FALSE,"Infield"
425545,"Josh Willingham","OF",NA,FALSE,"Outfield"
452240,"Adam Russell","P",NA,FALSE,"Pitcher"
459987,"Cesár Ramos","P",NA,FALSE,"Pitcher"
430583,"Jason Bartlett","SS",NA,FALSE,"Infield"
444876,"Alcides Escobar","SS",NA,FALSE,"Infield"
435358,"Yuniesky Betancourt","SS",NA,FALSE,"Infield"
425844,"Zack Greinke","P",NA,FALSE,"Pitcher"
453531,"Rob Johnson","C",NA,FALSE,"Infield"
434637,"Matt Lindstrom","P",NA,FALSE,"Pitcher"
464341,"Chin-Lung Hu","2B/SS",NA,FALSE,"Utility"
453539,"Sam Fuld","OF",NA,FALSE,"Outfield"
490063,"Matt Garza","P",NA,FALSE,"Pitcher"
446861,"Guillermo Moscoso","P",NA,FALSE,"Pitcher"
465065,"Sergio Escalona","P",NA,FALSE,"Pitcher"
452733,"Tom Gorzelanny","P",NA,FALSE,"Pitcher"
150484,"Vernon Wells","OF",NA,FALSE,"Outfield"
435063,"Mike Napoli","C/1B",NA,FALSE,"Utility"
407487,"Juan Rivera","OF",NA,FALSE,"Outfield"
451482,"Armando Galarraga","P",NA,FALSE,"Pitcher"
489150,"Clayton Mortensen","P",NA,FALSE,"Pitcher"
407911,"Frank Francisco","P",NA,FALSE,"Pitcher"
444836,"Aaron Laffey","P",NA,FALSE,"Pitcher"
429901,"Sergio Mitre","P",NA,FALSE,"Pitcher"
446928,"Joe Inglett","2B/OF",NA,FALSE,"Utility"
460579,"Nyjer Morgan","OF",NA,FALSE,"Outfield"
276354,"Matt Treanor","C",NA,FALSE,"Infield"
471868,"Alberto Gonzalez","2B/SS",NA,FALSE,"Utility"
434624,"Jayson Nix","2B/3B",NA,FALSE,"Utility"
453515,"David Purcey","P",NA,FALSE,"Pitcher"
462985,"Franklin Morales","P",NA,FALSE,"Pitcher"
150438,"Rodrigo Lopez","P",NA,FALSE,"Pitcher"
502003,"Scott Sizemore","2B/3B",NA,FALSE,"Utility"
502374,"Michael McKenry","C",NA,FALSE,"Infield"
407885,"Mark Ellis","2B",NA,FALSE,"Infield"
111904,"Mike Cameron","OF",NA,FALSE,"Outfield"
408061,"Francisco Rodríguez","P",NA,FALSE,"Pitcher"
433898,"Jeff Keppinger","2B",NA,FALSE,"Infield"
400140,"Wilson Betemit","3B",NA,FALSE,"Infield"
430404,"Jonny Gomes","DH/OF",NA,FALSE,"Utility"
408242,"Wil Nieves","C",NA,FALSE,"Infield"
279913,"Corey Patterson","OF",NA,FALSE,"Outfield"
519240,"Marc Rzepczynski","P",NA,FALSE,"Pitcher"
502208,"P.J. Walters","P",NA,FALSE,"Pitcher"
119125,"Trever Miller","P",NA,FALSE,"Pitcher"
458675,"Colby Rasmus","OF",NA,FALSE,"Outfield"
425226,"Brian Tallet","P",NA,FALSE,"Pitcher"
430630,"Jason Frasor","P",NA,FALSE,"Pitcher"
433597,"Mark Teahen","3B/OF",NA,FALSE,"Utility"
136860,"Carlos Beltrán","OF",NA,FALSE,"Outfield"
493120,"Kosuke Fukudome","OF",NA,FALSE,"Outfield"
450729,"Doug Fister","P",NA,FALSE,"Pitcher"
456102,"David Pauley","P",NA,FALSE,"Pitcher"
489413,"Casper Wells","OF",NA,FALSE,"Outfield"
501605,"Yamaico Navarro","3B/SS",NA,FALSE,"Utility"
449107,"Mike Aviles","SS",NA,FALSE,"Infield"
150020,"Jerry Hairston Jr.","2B/OF",NA,FALSE,"Utility"
452254,"Hunter Pence","OF",NA,FALSE,"Outfield"
150302,"Jason Marquis","P",NA,FALSE,"Pitcher"
488984,"Tommy Hunter","P",NA,FALSE,"Pitcher"
457788,"Jordan Schafer","OF",NA,FALSE,"Outfield"
456422,"Michael Bourn","OF",NA,FALSE,"Outfield"
279577,"Rafael Furcal","SS",NA,FALSE,"Infield"
434622,"Ubaldo Jiménez","P",NA,FALSE,"Pitcher"
446899,"Brad Ziegler","P",NA,FALSE,"Pitcher"
467099,"Jordan Norberto","P",NA,FALSE,"Pitcher"
450315,"Brandon Allen","1B",NA,FALSE,"Infield"
448801,"Chris Davis","1B",NA,FALSE,"Infield"
430606,"Mike Adams","P",NA,FALSE,"Pitcher"
493157,"Koji Uehara","P",NA,FALSE,"Pitcher"
111851,"Orlando Cabrera","SS",NA,FALSE,"Infield"
407853,"Erik Bedard","P",NA,FALSE,"Pitcher"
430321,"Delmon Young","OF",NA,FALSE,"Outfield"
445971,"Tim Wood","P",NA,FALSE,"Pitcher"
431094,"Aaron Hill","2B",NA,FALSE,"Infield"
150348,"John McDonald","SS",NA,FALSE,"Infield"
430637,"Kelly Johnson","2B",NA,FALSE,"Infield"
123272,"Jim Thome","1B/DH",NA,FALSE,"Utility"
429841,"Matt Diaz","OF",NA,FALSE,"Outfield"
333292,"Jack Wilson","SS",NA,FALSE,"Infield"
283166,"Michael Gonzalez","P",NA,FALSE,"Pitcher"
502609,"Daniel Herrera","P",NA,FALSE,"Pitcher"
489448,"Mike Zagurski","P",NA,FALSE,"Pitcher"
451500,"Kila Ka'aihue","1B/DH",NA,FALSE,"Utility"
501954,"Ozzie Martínez","SS",NA,FALSE,"Infield"
117955,"Derek Lowe","P",NA,FALSE,"Pitcher"
466320,"Melky Cabrera","OF",NA,FALSE,"Outfield"
456043,"Jonathan Sánchez","P",NA,FALSE,"Pitcher"
421064,"Ty Wigginton","1B/3B",NA,FALSE,"Utility"
434633,"John Baker","C",NA,FALSE,"Infield"
453281,"Wade LeBlanc","P",NA,FALSE,"Pitcher"
472528,"Luis Valbuena","3B",NA,FALSE,"Infield"
444379,"John Jaso","C",NA,FALSE,"Infield"
455104,"Chris Iannetta","C",NA,FALSE,"Infield"
460003,"Taylor Teagarden","C",NA,FALSE,"Infield"
425772,"Jeff Mathis","C",NA,FALSE,"Infield"
502166,"Brad Mills","P",NA,FALSE,"Pitcher"
435045,"Sergio Santos","P",NA,FALSE,"Pitcher"
458713,"Kevin Slowey","P",NA,FALSE,"Pitcher"
434718,"Huston Street","P",NA,FALSE,"Pitcher"
434636,"Ángel Pagán","OF",NA,FALSE,"Outfield"
400083,"Andres Torres","OF",NA,FALSE,"Outfield"
502125,"Tyler Colvin","OF",NA,FALSE,"Outfield"
456655,"Ian Stewart","3B",NA,FALSE,"Infield"
444520,"Craig Breslow","P",NA,FALSE,"Pitcher"
502239,"Trevor Cahill","P",NA,FALSE,"Pitcher"
444446,"Collin Balester","P",NA,FALSE,"Pitcher"
543634,"Ryan Perry","P",NA,FALSE,"Pitcher"
450204,"Ben Francisco","OF",NA,FALSE,"Outfield"
488674,"Burke Badenhop","P",NA,FALSE,"Pitcher"
407842,"Jose Veras","P",NA,FALSE,"Pitcher"
431171,"Casey McGehee","3B",NA,FALSE,"Infield"
476704,"Jed Lowrie","2B/SS",NA,FALSE,"Utility"
450172,"Edinson Volquez","P",NA,FALSE,"Pitcher"
502009,"Mat Latos","P",NA,FALSE,"Pitcher"
475174,"Yonder Alonso","1B",NA,FALSE,"Infield"
461829,"Gio Gonzalez","P",NA,FALSE,"Pitcher"
475243,"Travis Wood","P",NA,FALSE,"Pitcher"
445156,"Sean Marshall","P",NA,FALSE,"Pitcher"
502210,"Josh Reddick","OF",NA,FALSE,"Outfield"
457732,"Andrew Bailey","P",NA,FALSE,"Pitcher"
435220,"Ryan Sweeney","OF",NA,FALSE,"Outfield"
435041,"Carlos Quentin","OF",NA,FALSE,"Outfield"
474319,"Brandon Snyder","1B/3B",NA,FALSE,"Utility"
458690,"Chris Volstad","P",NA,FALSE,"Pitcher"
407296,"Carlos Zambrano","P",NA,FALSE,"Pitcher"
519203,"Anthony Rizzo","1B",NA,FALSE,"Infield"
488768,"Andrew Cashner","P",NA,FALSE,"Pitcher"
452234,"Seth Smith","OF",NA,FALSE,"Outfield"
489189,"Josh Outman","P",NA,FALSE,"Pitcher"
474029,"Zach Putnam","P",NA,FALSE,"Pitcher"
340192,"Marco Scutaro","2B/SS",NA,FALSE,"Utility"
